"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"73","Göttingen","ASTROMUNDUS","SUFONAMA","PlantHealth","EUROCULTURE","","","","","","","","","","","","","","","","",9.9158035,51.5412804,"Göttingen","Göttingen"
"74","Granada","COSI","GEMMA","","","","","","","","","","","","","","","","","","",-3.5985571,37.1773363,"Granada","Granada"
"75","Grenoble","FAME","EMM-Nano","MUNDUS URBANO","MEEES","","","","","","","","","","","","","","","","",5.724524,45.188529,"Grenoble","Grenoble"
"76","Groningen","MEME","IMIM Med","LCT","TCCM","EUROCULTURE","","","","","","","","","","","","","","","",6.5665018,53.2193835,"Groningen","Groningen"
"77","Guelph","CWCN","","","","","","","","","","","","","","","","","","","",-80.2481666,43.5448048,"Guelph","Guelph"
"78","Guimarães","SAHC","","","","","","","","","","","","","","","","","","","",-8.2917589,41.4425179,"Guimarães","Guimarães"
"79","Haifa","EMLE","","","","","","","","","","","","","","","","","","","",34.989571,32.7940463,"Haifa","Haifa"
"80","Hamburg","JEMES","MATHMODS","MUNDUS JOURNALISM","EMLE","","","","","","","","","","","","","","","","",9.9936818,53.5510846,"Hamburg","Hamburg"
"81","Heidelberg","IMIM Med","","","","","","","","","","","","","","","","","","","",8.6724335,49.3987524,"Heidelberg","Heidelberg"
"82","Helsinki","SPACEMASTER","EMECC NURSING","ASC","","","","","","","","","","","","","","","","","",24.938379,60.1698557,"Helsinki","Helsinki"
"83","Heraklion","ACES","","","","","","","","","","","","","","","","","","","",25.1442126,35.3387352,"Heraklion","Heraklion"
"84","Hildesheim","EMLex ","","","","","","","","","","","","","","","","","","","",9.9579652,52.154778,"Hildesheim","Hildesheim"
"85","Hong Kong","Media AC","","","","","","","","","","","","","","","","","","","",114.109497,22.396428,"Hong Kong","Hong Kong"
"86","Hull","GEMMA","","","","","","","","","","","","","","","","","","","",-0.3367413,53.7456709,"Hull","Hull"
"87","Indianapolis","EUROCULTURE","","","","","","","","","","","","","","","","","","","",-86.158068,39.768403,"Indianapolis","Indianapolis"
"88","Innsbruck","ASTROMUNDUS","","","","","","","","","","","","","","","","","","","",11.4041024,47.2692124,"Innsbruck","Innsbruck"
"89","Ivanovo","EU4M - EMMC","","","","","","","","","","","","","","","","","","","",40.9766453,57.0050671,"Ivanovo","Ivanovo"
"90","Joensuu","COSI","","","","","","","","","","","","","","","","","","","",29.7635719,62.6010155,"Joensuu","Joensuu"
"91","Johannesburg","EPOG","","","","","","","","","","","","","","","","","","","",28.0473051,-26.2041028,"Johannesburg","Johannesburg"
"92","Kaiserslautern","EMSE","EMECS","","","","","","","","","","","","","","","","","","",7.7491265,49.4400657,"Kaiserslautern","Kaiserslautern"
"93","Kampala","MFAMILY","","","","","","","","","","","","","","","","","","","",32.5825197,0.3475964,"Kampala","Kampala"
"94","Karlskrona","PLANET Europe","","","","","","","","","","","","","","","","","","","",15.5869,56.161224,"Karlskrona","Karlskrona"
"95","Karlsruhe","EU4M - EMMC","EUROPHOTONICS","","","","","","","","","","","","","","","","","","",8.4036527,49.0068901,"Karlsruhe","Karlsruhe"
"96","Katowice","EMLex ","","","","","","","","","","","","","","","","","","","",19.0237815,50.2648919,"Katowice","Katowice"
"97","Kiel","IMAE","","","","","","","","","","","","","","","","","","","",10.1227652,54.3232927,"Kiel","Kiel"
"98","Kiev","IMRCEES","","","","","","","","","","","","","","","","","","","",30.5234,50.4501,"Kiev","Kiev"
"99","Kingston","EPOG","","","","","","","","","","","","","","","","","","","",-0.300689,51.41233,"Kingston","Kingston"
"100","Kolding","EMTM","","","","","","","","","","","","","","","","","","","",9.4730519,55.495973,"Kolding","Kolding"
