X,Y,field_1,city,course1,course2,course3,course4,course5,course6,course7,course8,course9,course10,course11,course12,course13,course14,course15,course16,lon,lat,website1,website2,website3,website4,website5,website6,website7,website8,website9,website10,website11,website12,website13,website14,website15,website16,code,title
8.946256,44.4056499,64,Genova,EMSHIP,EMARO+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.946256,44.4056499,http://www.emship.eu/,http://emaro.irccyn.ec-nantes.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genova,Genova
3.7174243,51.0543422,65,Ghent,IMRD,IMFSE,EMLE,BIFTEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7174243,51.0543422,http://www.imrd.ugent.be/,http://www.imfse.ugent.be/,http://www.emle.org/,http://www.fet.kuleuven.be/biftec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ghent,Ghent
8.6784031,50.5840512,66,Giessen,EUCOMOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6784031,50.5840512,http://www.eucomor.net/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Giessen,Giessen
2.8214264,41.9794005,67,Girona,MAIA,EMTM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8214264,41.9794005,http://www.maiamaster.org/,http://www.emtmmaster.net/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Girona,Girona
31.2088526,30.0130557,68,Giza,EU4M - EMMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2088526,30.0130557,http://www.eu4m.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Giza,Giza
10.6916303,60.7954302,69,Gjovik,COSI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6916303,60.7954302,http://www.master-colorscience.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gjovik,Gjovik
-4.251806,55.864237,70,Glasgow,IMRCEES,IMAESC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.251806,55.864237,http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/,http://www.gla.ac.uk/postgraduate/erasmusmundus/imaesc/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glasgow,Glasgow
11.97456,57.70887,71,Gothenburg,EMM-Nano,EM HRPP,MFAMILY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.97456,57.70887,http://www.emm-nano.org/,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,http://www.mfamily.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gothenburg,Gothenburg
9.9158035,51.5412804,72,Göttingen,ASTROMUNDUS,SUFONAMA,PlantHealth,EUROCULTURE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9158035,51.5412804,http://www.astromundus.eu/,http://sufonama.eu/,http://planthealth.upv.es/,https://www.euroculturemaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Göttingen,Göttingen
-3.5985571,37.1773363,73,Granada,COSI,GEMMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5985571,37.1773363,http://www.master-colorscience.eu/,http://masteres.ugr.es/gemma/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Granada,Granada
5.724524,45.188529,74,Grenoble,FAME,EMM-Nano,MUNDUS URBANO,MEEES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.724524,45.188529,http://www.fame-master.com/,http://www.emm-nano.org/,http://www.mundus-urbano.eu/,http://www.meees.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grenoble,Grenoble
6.5665018,53.2193835,75,Groningen,MEME,IMIM Med,LCT,TCCM,EUROCULTURE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5665018,53.2193835,http://www.evobio.eu/,http://www.innovativemedicine.eu/,http://www.lct-master.org/,http://www.emtccm.org/,https://www.euroculturemaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Groningen,Groningen
-80.2481666,43.5448048,76,Guelph,CWCN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.2481666,43.5448048,http://www.munduscrossways.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guelph,Guelph
-8.2917589,41.4425179,77,Guimarães,SAHC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.2917589,41.4425179,http://www.msc-sahc.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guimarães,Guimarães
