	variable	value	citibike_station_id	label
4416	1	0.66	475	E 16 St & Irving Pl
4438	1	0.66	476	E 31 St & 3 Ave
4456	1	4.09	477	W 41 St & 8 Ave
4477	1	16.35	478	11 Ave & W 41 St
4505	1	4.09	479	9 Ave & W 45 St
4536	1	13.26	480	W 53 St & 10 Ave
4563	1	12.82	482	W 15 St & 7 Ave
4588	1	3.43	483	E 12 St & 3 Ave
4615	1	0	484	W 44 St & 5 Ave
4642	1	0	485	W 37 St & 5 Ave
4673	1	0	486	Broadway & W 29 St
4691	1	37.79	487	E 20 St & FDR Drive
4718	1	5.64	488	W 39 St & 9 Ave
4741	1	0.66	489	10 Ave & W 28 St
4770	1	1.88	490	W 33 St & 8 Ave
4793	1	0	491	E 24 St & Park Ave S
4816	1	0.44	492	W 33 St & 7 Ave
4848	1	0	493	W 45 St & 6 Ave
4887	1	2.32	494	W 26 St & 8 Ave
4911	1	27.4	495	W 47 St & 10 Ave
4930	1	0.11	496	E 16 St & 5 Ave
4956	1	0	497	E 17 St & Broadway
4971	1	0	498	Broadway & W 32 St
5004	1	0	499	Broadway & W 60 St
5030	1	0	500	Broadway & W 51 St
5053	1	0	501	FDR Drive & E 35 St
5071	1	0	503	E 20 St & Park Ave
5105	1	33.48	504	1 Ave & E 15 St
5132	1	0	505	6 Ave & W 33 St
5150	1	3.98	507	E 25 St & 2 Ave
5181	1	15.91	508	W 46 St & 11 Ave
5218	1	19.45	509	9 Ave & W 22 St
5231	1	35.8	510	W 51 St & 6 Ave
5269	1	32.38	511	E 14 St & Avenue B
5288	1	0.33	513	W 56 St & 10 Ave
5316	1	10.5	514	12 Ave & W 40 St
5340	1	18.56	515	W 43 St & 10 Ave
5373	1	5.97	516	E 47 St & 1 Ave
5401	1	1.33	517	Pershing Square S
5429	1	0	518	E 39 St & 2 Ave
5451	1	0	519	Pershing Square N
5478	1	0	520	W 52 St & 5 Ave
5509	1	1.33	521	8 Ave & W 31 St
5513	1	15.25	522	E 51 St & Lexington Ave
5545	1	1.22	523	W 38 St & 8 Ave
5565	1	0.66	524	W 43 St & 6 Ave
5612	1	0	525	W 34 St & 11 Ave
5639	1	1.44	526	E 33 St & 5 Ave
5657	1	0	527	E 33 St & 1 Ave
5684	1	0.11	528	2 Ave & E 30 St
5711	1	9.61	529	W 42 St & 8 Ave
5729	1	10.39	530	11 Av & 59 St
5750	1	5.52	531	Forsyth St & Broome St
5788	1	0	533	Broadway & W 39 St
5802	1	0	534	Water - Whitehall Plaza
5826	1	0	536	1 Ave & E 30 St
5855	1	5.3	537	Lexington Ave & E 24 St
5892	1	1.33	540	Lexington Ave & E 26 St
5914	1	47.85	545	E 23 St & 1 Ave
5937	1	0	546	E 30 St & Park Ave S
5968	1	48.62	2003	1 Ave & 18 St
5996	1	1.33	2004	Spring St & 6 Ave
6022	1	0	2006	Central Park S & 6 Ave
6033	1	0	2017	E 43 St & 2 Ave
6072	1	0	2021	W 45 St & 8 Ave
6087	1	0	2023	E 55 St & Lexington Ave
6116	1	12.27	3002	South End Av & Liberty St
6147	1	20.22	2009	Catherine St & Monroe St
6171	1	0	2010	Grand St & Greene St
6203	1	0.44	2022	E 59 St & Sutton Pl
6226	1	43.09	502	E Broadway & Grand St
6244	1	0.66	2012	E 27 St & 1 Ave
6280	1	10.28	2008	Little West St & 1 Pl
6295	1	6.96	3016	W 23 & 8 Ave
6326	1	4.82	3131	Coming soon: E 63 St & York Ave 
6348	1	0.11	3132	E 59 St & Madison Ave
6379	1	0.66	3134	3 Ave & E 62 St
6415	1	0	3142	1 Ave & E 62 St
6433	1	0	3223	E 55 St & 3 Ave
6456	1	0.22	3224	W 13 St & Hudson St
6492	1	0	3230	Penn Station Valet
6524	1	0	3233	E 48 St & 5 Ave
6542	1	0	3235	E 41 St & Madison Ave
6574	1	21.22	3236	PABT Valet
10	10	0	72	W 52 St & 11 Ave
46	10	15.58	79	Franklin St & W Broadway
56	10	0.65	82	St James Pl & Pearl St
96	10	7.73	116	W 17 St & 8 Ave
127	10	4.9	127	Barrow St & Hudson St
136	10	32.57	128	MacDougal St & Prince St
168	10	28.98	137	Henry St & Grand St
189	10	5.99	146	Hudson St & Reade St
210	10	25.27	147	Greenwich St & Warren St
238	10	0.33	150	E 2 St & Avenue C
277	10	8.71	151	Cleveland Pl & Spring St
290	10	10.78	152	Warren St & Church St
314	10	6.21	153	E 40 St & 5 Ave
341	10	0.65	160	E 37 St & Lexington Ave
369	10	5.77	161	LaGuardia Pl & W 3 St
393	10	12.85	164	E 47 St & 2 Ave
421	10	1.31	167	E 39 St & 3 Av
450	10	18.19	168	W 18 St & 6 Av
479	10	4.79	173	Broadway & W 49 St
503	10	0	174	E 25 St & 1 Ave
538	10	7.19	195	Liberty St & Broadway
551	10	29.3	212	W 16 St & The High Line
577	10	51.63	223	W 13 St & 7 Ave
602	10	6.1	224	Spruce St & Nassau St
625	10	21.57	225	W 14 St & The High Line
659	10	26.14	228	E 48 St & 3 Ave
686	10	15.03	229	Great Jones St
713	10	0	236	St Marks Pl & 2 Ave
736	10	0.11	237	E 11 Street & 2 Avenue
755	10	0	238	Bank St & Washington St
806	10	0	247	Perry St & Bleecker St
824	10	19.61	248	Laight St & Hudson St
842	10	43.4	249	Harrison St & Hudson St
860	10	5.66	250	Lafayette St & Jersey St
886	10	10.46	251	Mott St & Prince St
911	10	1.85	252	MacDougal St & Washington Sq
938	10	3.59	253	W 13 St & 5 Ave
974	10	0	254	W 11 St & 6 Ave
993	10	22.55	257	Lispenard St & Broadway
1029	10	26.03	259	South St & Whitehall St
1062	10	6.06	260	Broad St & Bridge St
1076	10	2.29	263	Elizabeth St & Hester St
1094	10	36.38	264	Maiden Ln & Pearl St
1130	10	0.44	265	Stanton St & Chrystie St
1153	10	0	266	Avenue D & E 8 St
1175	10	28	268	Howard St & Centre St
1198	10	9.91	276	Duane St & Greenwich St
1224	10	1.09	280	E 10 St & 5 Ave
1252	10	19.5	281	Grand Army Plaza & Central Park S
1287	10	0.76	284	Greenwich Ave & 8 Ave
1324	10	2.29	285	Broadway & E 14 St
1329	10	0	291	Madison St & Montgomery St
1353	10	26.67	293	Lafayette St & E 8 St
1387	10	0.11	295	Pike St & E Broadway
1414	10	0.11	296	Division St & Bowery
1440	10	0	297	E 15 St & 3 Ave
