variable	value	label
346	15	4.58	LaGuardia Pl & W 3 St
347	17	3.18	LaGuardia Pl & W 3 St
348	4	0.65	LaGuardia Pl & W 3 St
349	22	1.54	LaGuardia Pl & W 3 St
350	3	0.65	LaGuardia Pl & W 3 St
351	23	0.79	LaGuardia Pl & W 3 St
352	14	5.89	LaGuardia Pl & W 3 St
353	0	1	LaGuardia Pl & W 3 St
354	10	5.77	LaGuardia Pl & W 3 St
355	13	7.73	LaGuardia Pl & W 3 St
356	18	12.24	LaGuardia Pl & W 3 St
357	9	1.96	LaGuardia Pl & W 3 St
358	16	4.58	LaGuardia Pl & W 3 St
359	21	4.71	LaGuardia Pl & W 3 St
360	2	0.66	LaGuardia Pl & W 3 St
361	8	0.11	E 47 St & 2 Ave
362	19	0	E 47 St & 2 Ave
363	1	0	E 47 St & 2 Ave
364	7	0	E 47 St & 2 Ave
365	23	0	E 47 St & 2 Ave
366	4	0	E 47 St & 2 Ave
367	20	0	E 47 St & 2 Ave
368	15	1.31	E 47 St & 2 Ave
369	10	12.85	E 47 St & 2 Ave
370	6	0	E 47 St & 2 Ave
371	11	10.24	E 47 St & 2 Ave
372	3	0	E 47 St & 2 Ave
373	9	5.66	E 47 St & 2 Ave
374	17	0.11	E 47 St & 2 Ave
375	18	0	E 47 St & 2 Ave
376	5	0	E 47 St & 2 Ave
377	12	7.63	E 47 St & 2 Ave
378	16	0.11	E 47 St & 2 Ave
379	21	0	E 47 St & 2 Ave
380	0	0	E 47 St & 2 Ave
381	22	0	E 47 St & 2 Ave
382	2	0	E 47 St & 2 Ave
383	14	2.18	E 47 St & 2 Ave
384	13	2.4	E 47 St & 2 Ave
385	15	0.11	E 39 St & 3 Av
386	7	0	E 39 St & 3 Av
387	3	0	E 39 St & 3 Av
388	6	0	E 39 St & 3 Av
389	19	0	E 39 St & 3 Av
390	5	0	E 39 St & 3 Av
391	23	0	E 39 St & 3 Av
392	17	0	E 39 St & 3 Av
393	4	0	E 39 St & 3 Av
394	8	0	E 39 St & 3 Av
395	12	0.22	E 39 St & 3 Av
396	16	0	E 39 St & 3 Av
397	14	0.11	E 39 St & 3 Av
398	11	0.65	E 39 St & 3 Av
399	22	0	E 39 St & 3 Av
400	10	1.31	E 39 St & 3 Av
401	13	0.22	E 39 St & 3 Av
402	1	0	E 39 St & 3 Av
403	20	0	E 39 St & 3 Av
404	9	0.44	E 39 St & 3 Av
405	2	0	E 39 St & 3 Av
406	21	0	E 39 St & 3 Av
407	18	0	E 39 St & 3 Av
